15051432,GE,27.7,933,27.75,56,195030
15051432,F,24.7,47,24.74,26,179909
15051432,M,55.7,113,55.83,17,19487
15051432,T,47.47,14,47.52,43,11001
15051432,BC,77.71,12,79.13,12,14
15051432,R,90,10,99.23,13,13
15051432,QTM,16.58,10,17.05,13,13
15051432,S,21.23,16,21.32,13,5055
15051432,AU,23.48,16,23.56,27,5423
15051432,UPS,132.4,10,134.91,12,510
15051432,A,81.39,11,81.81999,13,625
15051433,GE,27.7,933,27.75,56,196052
15051433,F,24.71,11,24.75,16,180843
15051433,M,55.7,113,55.83,17,19497
15051433,T,47.47,14,47.52,43,11067
15051433,BC,77.71,12,79.13,12,14
15051433,R,90,10,99.23,13,13
15051433,QTM,16.58,10,17.05,13,13
15051433,S,21.25,14,21.32,14,5055
15051433,AU,23.49,19,23.55,21,5423
15051433,UPS,132.4,10,134.91,12,510
15051433,A,81.39,11,81.81999,13,697
15051434,GE,27.71,14,27.75,56,196212
15051434,F,24.71,11,24.75,16,181365
15051434,M,55.7,113,55.83,17,19497
15051434,T,47.47,14,47.52,40,11372
15051434,BC,77.71,12,79.13,12,14
15051434,R,90,10,99.23,13,13
15051434,QTM,16.58,10,17.05,13,13
15051434,S,21.28,14,21.32,14,5080
15051434,AU,23.5,20,23.56,25,5423
15051434,UPS,132.4,10,134.91,12,520
15051434,A,81.39,11,81.81999,13,697
15051435,GE,27.7,933,27.75,21,196935
15051435,F,24.71,11,24.75,16,181375
15051435,M,55.7,113,55.83,17,19497
15051435,T,47.47,14,47.52,40,11518
15051435,BC,77.71,12,79.13,12,14
15051435,R,90,10,99.23,13,13
15051435,QTM,16.58,10,17.05,13,13
15051435,S,21.23,16,21.32,14,5082
15051435,AU,23.5,35,23.56,22,5423
15051435,UPS,132.4,10,134.91,12,520
15051435,A,81.39,11,81.8,12,697
15051436,GE,27.7,932,27.75,90,199551
15051436,F,24.71,11,24.78,23,182468
15051436,M,55.72,10,55.82,17,19497
15051436,T,47.48,16,47.52,40,11520
15051436,BC,77.71,12,79.13,12,14
15051436,R,90,10,99.23,13,13
15051436,QTM,16.58,10,17.05,13,13
15051436,S,21.23,16,21.32,14,5082
15051436,AU,23.5,19,23.56,23,5423
15051436,UPS,132.4,10,134.91,12,520
15051436,A,81.39,11,81.8,12,697
15051437,GE,27.7,932,27.75,21,201249
